0,0,4
375,0,4
750,0,4
1125,0,4
1500,3,4
1875,3,4
2250,3,4
2625,3,4
3000,1,4
3375,1,4
3750,1,4
4125,1,4
4500,1,4
4875,1,4
5250,1,4
5625,1,4
6000,0,4
6375,0,4
6750,0,4
7125,0,4
7500,3,4
7875,3,4
8250,3,4
8625,3,4
9000,1,4
9375,1,4
9750,1,4
10125,1,4
10500,1,4
10875,1,4
11250,1,4
11625,1,4
12000,0,4
12375,0,4
12750,0,4
13125,0,4
13500,3,4
13875,3,4
14250,3,4
14625,3,4
15000,1,4
15375,1,4
15750,1,4
16125,1,4
16500,1,4
16875,1,4
17250,1,4
17625,1,4
18000,0,4
18375,0,4
18750,0,4
19125,0,4
19500,3,4
19875,3,4
20250,3,4
20625,3,4
21000,1,4
21375,1,4
21750,1,4
22125,1,4
22500,1,4
22875,1,4
23250,1,4
23625,1,4
