3000,2,4
3750,2,4
4500,3,4
5250,3,4
6000,2,4
6750,2,4
7500,1,4
8250,1,4
9000,2,4
9750,2,4
10500,3,4
11250,3,4
12000,1,4
12750,1,4
13500,2,4
13875,2,4
14250,2,4
14625,2,4
15000,2,4
15750,2,4
16500,3,4
17250,3,4
18000,4,4
18750,4,4
19500,3,4
20250,3,4
21000,2,4
21750,3,4
22500,2,4
23250,1,4
24000,2,4
24375,2,4
24750,2,4
25125,2,4
27000,2,4
27375,2,4
27750,2,4
28125,2,4
28500,3,4
28875,2,4
29250,2,4
29625,2,4
30000,1,4
30375,2,4
30750,2,4
31125,2,4
31875,1,4
31875,3,4
32625,1,4
32625,3,4
33000,2,4
33375,2,4
33750,2,4
34125,2,4
34500,3,4
34875,2,4
35250,2,4
35625,2,4
36000,1,4
36375,2,4
36750,2,4
37125,2,4
37875,1,4
37875,3,4
38625,1,4
38625,3,4
39000,2,4
39375,2,4
39750,2,4
40125,2,4
40500,1,4
40500,3,4
40875,1,4
40875,3,4
41250,1,4
41250,3,4
41625,1,4
41625,3,4
42375,2,4
43125,2,4
43875,2,4
44625,2,4
45000,2,4
45375,3,4
45750,2,4
46125,1,4
46500,2,4
46875,3,4
47250,4,4
47625,3,4
48000,2,4
48375,1,4
48750,0,4
49125,1,4
49500,2,4
49875,2,4
50250,2,4
50625,1,4
50625,3,4
51000,2,4
51750,2,4
52500,3,4
53250,3,4
54000,2,4
54750,2,4
55500,1,4
56250,1,4
57000,2,4
57750,2,4
58500,3,4
59250,3,4
60000,1,4
60750,1,4
61500,2,4
61875,2,4
62250,2,4
62625,2,4
63000,2,4
63750,2,4
64500,3,4
65250,3,4
66000,4,4
66750,4,4
67500,3,4
68250,3,4
69000,2,4
69750,3,4
70500,2,4
71250,1,4
72000,2,4
72375,2,4
72750,2,4
73125,2,4
75000,2,4
75375,2,4
75750,2,4
76125,2,4
76500,3,4
76875,2,4
77250,2,4
77625,2,4
78000,1,4
78375,2,4
78750,2,4
79125,2,4
79875,1,4
79875,3,4
80625,1,4
80625,3,4
81000,2,4
81375,2,4
81750,2,4
82125,2,4
82500,3,4
82875,2,4
83250,2,4
83625,2,4
84000,1,4
84375,2,4
84750,2,4
